id,title,artist,spotify_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,date,decade,weeks_at_1,consecutive
JAILHOUSE_ROCK__ELVIS_PRESLEY,JAILHOUSE ROCK,ELVIS PRESLEY,4gphxUgq0JSFv2BCLhNDiE,0.647,0.582,10,-9.538,0.0755,0.41,0.00000193,0.0715,0.916,167.396,146480,4,24/01/58,1950,4,FALSE
THE_STORY_OF_MY_LIFE__MICHAEL_HOLLIDAY,THE STORY OF MY LIFE,MICHAEL HOLLIDAY,0k7D3su480Mxcv0rDggr9x,0.703,0.348,9,-12.912,0.0351,0.918,0.000477,0.107,0.773,138.952,135827,4,14/02/58,1950,2,TRUE
MAGIC_MOMENTS__PERRY_COMO,MAGIC MOMENTS,PERRY COMO,165n9dxHacuguzneup0HXQ,0.499,0.273,0,-14.577,0.0544,0.865,0.00000211,0.319,0.713,156.081,160867,3,28/02/58,1950,8,TRUE
WHOLE_LOTTA_WOMAN__MARVIN_RAINWATER,WHOLE LOTTA WOMAN,MARVIN RAINWATER,4WRypfUPWm8bO1tvme9blS,0.471,0.638,9,-10.476,0.0454,0.615,0,0.224,0.849,149.873,155360,4,25/04/58,1950,3,TRUE
WHO'S_SORRY_NOW__CONNIE_FRANCIS,WHO'S SORRY NOW,CONNIE FRANCIS,2hoEISYqDdskGxin3ObSZd,0.51,0.276,3,-9.607,0.0279,0.743,0.0000276,0.375,0.601,87.738,136360,4,16/05/58,1950,6,TRUE
ON_THE_STREET_WHERE_YOU_LIVE__VIC_DAMONE,ON THE STREET WHERE YOU LIVE,VIC DAMONE,1cZMpIV8p6PATxD32t7LZ1,0.261,0.386,11,-9.751,0.0329,0.764,0,0.4,0.418,129.901,163173,4,27/06/58,1950,2,TRUE
ALL_I_HAVE_TO_DO_IS_DREAM/CLAUDETTE__EVERLY_BROTHERS,ALL I HAVE TO DO IS DREAM/CLAUDETTE,EVERLY BROTHERS,29raAQaMrsKV9QOmlk4lru,0.613,0.594,4,-10.244,0.0375,0.623,0,0.339,0.972,155.434,128667,4,04/07/58,1950,7,TRUE
WHEN__KALIN_TWINS,WHEN,KALIN TWINS,3rMZQLoZ20cmVmZ2MPFae1,0.668,0.504,6,-8.79,0.0322,0.627,0.00000187,0.136,0.948,92.83,144813,4,22/08/58,1950,5,TRUE
CAROLINA_MOON/STUPID_CUPID__CONNIE_FRANCIS,CAROLINA MOON,CONNIE FRANCIS,3qPUfit9sj8oWROMAXkI37,0.328,0.356,4,-9.153,0.0344,0.837,0.0000172,0.0707,0.215,117.437,154773,3,26/09/58,1950,6,TRUE
IT'S_ALL_IN_THE_GAME__TOMMY_EDWARDS,IT'S ALL IN THE GAME,TOMMY EDWARDS,394NjJrTCSRmOzrUugwJz0,0.547,0.0975,3,-21.279,0.0305,0.821,0.0183,0.127,0.655,70.453,159547,4,07/11/58,1950,3,TRUE
HOOTS_MON__LORD_ROCKINGHAM'S_XI,HOOTS MON,LORD ROCKINGHAM'S XI,53wgTH92VcD5W5yoWyA5i0,0.55,0.915,3,-7.371,0.0897,0.305,0.117,0.182,0.901,90.053,133333,4,28/11/58,1950,3,TRUE
IT'S_ONLY_MAKE_BELIEVE__CONWAY_TWITTY,IT'S ONLY MAKE BELIEVE,CONWAY TWITTY,2FPHyyvfLMIV8GkUWWwYl5,0.561,0.381,10,-11.303,0.032,0.777,0.0000525,0.12,0.49,115.186,150133,3,19/12/58,1950,5,TRUE
THE_DAYS_THE_RAINS_CAME__JANE_MORGAN,THE DAY THE RAINS CAME,JANE MORGAN,7jyBO0Y3D9zJ9aZSR4FOcc,0.446,0.319,10,-11.981,0.0295,0.883,0,0.252,0.461,108.802,177480,4,23/01/59,1950,1,TRUE
ONE_NIGHT/I_GOT_STUNG__ELVIS_PRESLEY,ONE NIGHT,ELVIS PRESLEY,1W5Vp1lP4uhlxyUwgxQq4f,0.646,0.618,4,-6.978,0.0339,0.765,0.00000133,0.304,0.756,80.19,152427,4,30/01/59,1950,4,FALSE
AS_I_LOVE_YOU__SHIRLEY_BASSEY,AS I LOVE YOU,SHIRLEY BASSEY,703FxkjF4KD6sGZyQ0Vg2b,0.32,0.342,9,-8.793,0.0298,0.872,0.00000623,0.123,0.204,73.256,174307,4,20/02/59,1950,4,TRUE
SMOKE_GETS_IN_YOUR_EYES__PLATTERS,SMOKE GETS IN YOUR EYES,PLATTERS,307XEC1IUwUs9ojlEFwH7f,0.29,0.227,3,-13.06,0.0311,0.944,0.0000795,0.617,0.195,114.278,157293,4,20/03/59,1950,1,TRUE
SIDE_SADDLE__RUSS_CONWAY,SIDE SADDLE,RUSS CONWAY,5Hcq17tDI8YHOcJ9YXgn5X,0.558,0.53,3,-13.275,0.0363,0.381,0.91,0.129,0.969,90.979,114733,4,27/03/59,1950,4,TRUE
IT_DOESN'T_MATTER_ANYMORE__BUDDY_HOLLY,IT DOESN'T MATTER ANYMORE,BUDDY HOLLY,00S7zXnfMD9JSImK37XjYd,0.619,0.441,7,-10.309,0.0299,0.659,0,0.165,0.885,115.805,123027,4,24/04/59,1950,3,TRUE
A_FOOL_SUCH_AS_I/I_NEED_YOUR_LOVE_TONIGHT__ELVIS_PRESLEY,A FOOL SUCH AS I,ELVIS PRESLEY,2TGiDvXSDPCcBTfaMtmsRc,0.574,0.714,0,-6.344,0.0403,0.901,0.000017,0.255,0.71,63.625,159360,4,15/05/59,1950,5,TRUE
ROULETTE__RUSS_CONWAY,ROULETTE,RUSS CONWAY,6QqZaEmwPn4VL6V5eIC8l0,0.492,0.734,2,-9.319,0.0345,0.101,0.932,0.334,0.926,89.604,129493,4,19/06/59,1950,2,TRUE
DREAM_LOVER__BOBBY_DARIN,DREAM LOVER,BOBBY DARIN,1KLpjQFgubHI3GkAICCNH3,0.526,0.774,5,-1.692,0.0459,0.715,0,0.437,0.71,131.715,150706,4,03/07/59,1950,4,TRUE
LIVING_DOLL__CLIFF_RICHARD_&_THE_SHADOWS,LIVING DOLL,CLIFF RICHARD & THE SHADOWS,2OqzR7I7GF19T2qPrbmYQC,0.599,0.481,9,-7.412,0.0467,0.501,0,0.0982,0.773,62.573,156793,4,31/07/59,1950,6,TRUE
ONLY_SIXTEEN__CRAIG_DOUGLAS,ONLY SIXTEEN,CRAIG DOUGLAS,4N7IbIcNpD48oHO96VEILH,0.701,0.32,5,-16.099,0.0344,0.699,0,0.213,0.825,114.833,133373,4,11/09/59,1950,4,TRUE
HERE_COMES_SUMMER__JERRY_KELLER,HERE COMES SUMMER,JERRY KELLER,69nsREo5gLCm4ylCUvqTDk,0.417,0.559,1,-9.651,0.0501,0.502,0.00000126,0.257,0.745,83.228,127987,4,09/10/59,1950,1,TRUE
MACK_THE_KNIFE__BOBBY_DARIN,MACK THE KNIFE,BOBBY DARIN,0YTgZJfVLmJ0b8XAMZKRKg,0.549,0.529,3,-12.291,0.108,0.76,0,0.206,0.451,82.755,184333,4,16/10/59,1950,2,TRUE
